-,-,-
-100, 18, 1033
-79, 44, 1030
-93, 63, 1025
-70, 81, 1014
-52, 64, 1014
-52, 64, 1014
-30, 32, 1034
-5, 65, 1051
0, 131, 1047
-27, 242, 1092
-70, 297, 1153
-70, 297, 1153
-89, 294, 1218
-103, 288, 1293
-114, 269, 1378
-99, 211, 1456
-40, 79, 1558
53, -67, 1671
138, -153, 1758
182, -185, 1787
182, -185, 1787
149, -210, 1769
19, -230, 1746
-110, -283, 1667
-160, -428, 1666
-196, -606, 1611
-163, -805, 1532
-83, -1030, 1344
9, -1188, 1136
94, -1274, 698
167, -1151, 278
207, -1119, 23
156, -1005, -296
26, -771, -403
-130, -551, -576
-236, -301, -727
-291, -105, -721
-355, 92, -596
-355, 92, -596
-400, 296, -402
-402, 488, -189
-284, 600, 62
-111, 647, 271
3, 651, 429
29, 781, 607
29, 781, 607
64, 985, 695
73, 1193, 791
10, 1289, 942
16, 1325, 1132
145, 1235, 1332
145, 1235, 1332
237, 1097, 1457
243, 994, 1420
140, 998, 1347
107, 932, 1404
123, 702, 1462
126, 379, 1438
143, 76, 1518
228, -214, 1612
228, -214, 1584
303, -424, 1584
285, -498, 1455
215, -503, 1348
-,-,-
97, 231, 956
127, 359, 887
130, 550, 934
74, 711, 982
74, 711, 982
-11, 739, 1096
36, 565, 1199
134, 330, 1261
187, 168, 1372
186, 39, 1540
186, 39, 1540
225, -129, 1776
260, -339, 1964
191, -564, 1998
29, -674, 1998
-158, -736, 1998
-239, -857, 1933
-294, -902, 1694
-279, -989, 1466
-237, -1028, 1235
-144, -1069, 962
-68, -1033, 726
6, -958, 471
38, -790, 222
38, -790, 222
14, -562, -21
-18, -378, -195
-31, -225, -230
-65, -15, -256
-90, 224, -299
-45, 365, -280
17, 416, -194
17, 416, -194
90, 446, -120
125, 505, -41
109, 635, -33
102, 740, -43
155, 774, -2
155, 774, -2
238, 753, 90
258, 738, 204
266, 786, 266
191, 911, 395
191, 911, 395
80, 1057, 425
97, 1085, 652
143, 996, 964
163, 924, 1229
137, 892, 1437
137, 892, 1437
-,-,-
24, 306, 1112
31, 365, 1200
-35, 400, 1299
-32, 329, 1431
-32, 329, 1431
-16, 143, 1610
