-,-,-
196, 49, 909
180, 98, 878
180, 98, 878
118, 133, 823
-116, 202, 523
-529, 569, 42
-993, 1386, -728
-1521, 1995, -1361
-1905, 1997, -1407
-1842, 1991, -1462
-1398, 865, -1042
-574, -1180, -60
0, -1994, 913
-39, -1998, 1304
-229, -1998, 1767
-316, -1998, 1998
-211, -1998, 1998
-36, -1998, 1998
95, -1998, 1956
252, -1998, 1655
334, -1998, 1387
208, -1998, 1142
-20, -1998, 905
-345, -1998, 836
-698, -1809, 813
-972, -1278, 784
-1099, -407, 871
-1075, 471, 1051
-1277, 1416, 1338
-1657, 1997, 1680
-1991, 1997, 1940
-1642, 1708, 1810
-681, 573, 1498
154, -157, 1026
547, -351, 744
607, -360, 739
451, -243, 778
451, -243, 778
190, -115, 864
-13, -120, 958
-,-,-
-218, 278, 166
-771, 702, 58
-1636, 1730, -161
-1998, 1997, -340
-1998, 1997, -687
-1998, 1854, -839
-1461, -107, -214
-176, -1862, 973
810, -1998, 1810
1286, -1998, 1998
1291, -1998, 1998
824, -1998, 1994
348, -1998, 1745
-33, -1954, 1463
-235, -1801, 1219
-284, -1612, 910
-159, -1789, 743
-159, -1789, 743
-124, -1997, 604
-177, -1998, 739
-340, -1989, 855
-609, -1363, 748
-651, -75, 925
-1122, 961, 1359
-1885, 1921, 1976
-1998, 1997, 1998
-1602, 1806, 1998
-633, 881, 1850
164, 108, 1316
480, -137, 839
574, -299, 717
563, -406, 735
405, -307, 788
302, -330, 941
113, -259, 1102
-,-,-
-412, 656, 53
-842, 997, -243
-1451, 1574, -553
-1927, 1996, -913
-1998, 1997, -973
-1998, 1775, -955
-1667, 113, -272
-675, -1680, 1176
42, -1998, 1997
463, -1998, 1998
536, -1998, 1998
288, -1998, 1998
224, -1998, 1996
371, -1998, 1894
422, -1993, 1426
267, -1832, 1154
197, -1821, 895
204, -1967, 677
131, -1998, 475
16, -1998, 260
-114, -1998, 125
-335, -1998, 132
-652, -1746, 308
-884, -666, 691
-1111, 468, 1132
-1763, 1586, 1828
-1998, 1997, 1998
-1933, 1997, 1998
-1238, 1337, 1998
-275, -37, 1952
424, -620, 1396
504, -543, 906
298, -521, 869
298, -521, 869
51, -546, 1076
-86, -587, 1262
-129, -603, 1332
-98, -581, 1354
-,-,-
-523, 777, -38
-1059, 1457, -447
-1718, 1994, -922
-1997, 1997, -1381
-1998, 1879, -1312
-1603, 25, -542
-560, -1839, 1010
-9, -1998, 1993
92, -1998, 1998
-42, -1998, 1998
-114, -1998, 1998
111, -1920, 1974
332, -1741, 1590
373, -1616, 1309
304, -1564, 1252
231, -1540, 1117
207, -1623, 1081
270, -1851, 933
236, -1977, 803
124, -1998, 559
-77, -1998, 435
-316, -1915, 359
-635, -1541, 523
-877, -971, 688
-928, -177, 957
-928, -177, 957
-1033, 795, 1306
-1619, 1811, 1713
-1964, 1997, 1988
-1463, 1723, 1991
113, 156, 1439
113, 156, 1439
341, -89, 1045
306, -242, 947
196, -420, 1033
38, -453, 1149
-125, -320, 1179
-180, -241, 1181
-135, -282, 1208
-,-,-
-463, 788, 52
-807, 1248, -115
-1259, 1776, -326
-1633, 1997, -484
-1806, 1594, -449
-1613, 571, -158
-1037, -558, 389
-409, -1424, 1071
169, -1972, 1748
610, -1998, 1998
614, -1998, 1998
426, -1998, 1998
307, -1939, 1990
182, -1702, 1655
-5, -1579, 1458
-179, -1490, 1527
-138, -1546, 1458
-96, -1539, 1299
-88, -1606, 1101
21, -1855, 938
52, -1998, 810
-99, -1998, 738
-282, -1998, 599
-552, -1952, 367
-796, -1410, 147
-905, -668, -147
-1137, 429, -57
-1499, 1613, 756
-1923, 1997, 1878
-1965, 1857, 1998
-1465, 1131, 1998
-784, 484, 1998
-260, 48, 1694
84, -272, 1152
84, -272, 1152
